City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Kirakira,SB,28.01,overcast clouds,-10.4544,161.9205,SanBiz Lodge
198,Trairi,BR,25.48,few clouds,-3.2778,-39.2689,janelas do mar
199,Saint-Philippe,RE,20.77,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
201,Trincomalee,LK,26.52,overcast clouds,8.5711,81.2335,Welcombe Hotel
204,Puerto Escondido,MX,29.46,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
205,Mabaruma,GY,23.21,broken clouds,8.2,-59.7833,Monty Brooms Guest House
208,Naze,JP,28.51,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
209,Bethel,US,29.94,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
210,Eyl,SO,24.31,few clouds,7.9803,49.8164,Amiin Hotel
212,Guerrero Negro,MX,27.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
213,Port Hardy,CA,27.1,clear sky,50.6996,-127.4199,Airport Inn
216,Nyurba,RU,24.38,scattered clouds,63.2842,118.3319,Gostinitsa Alrosa
217,Acapulco,MX,29.9,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
218,Urumqi,CN,22.53,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
224,Dingle,PH,29.39,light rain,10.9995,122.6711,SEGAYA PROPERTY
225,Gigmoto,PH,28.26,overcast clouds,13.7796,124.39,Cj's Travellers Inn
226,Goderich,CA,22.73,broken clouds,43.7501,-81.7165,Harmony Inn
230,Betanzos,ES,20.5,broken clouds,43.2804,-8.2147,Hotel Garelos Betanzos
231,Los Llanos De Aridane,ES,20.86,clear sky,28.6585,-17.9182,Valle Aridane
237,Ludwigsfelde,DE,22.01,clear sky,52.3,13.2667,B&B Hotel Berlin-Süd Genshagen
239,Republic,US,26.42,clear sky,37.12,-93.4802,AmericInn by Wyndham Republic
242,Sungaipenuh,ID,20.59,scattered clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
244,Zhangzhou,CN,28.96,overcast clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
246,Altea,ES,27.05,broken clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
247,Buchanan,LR,24.38,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
248,Hami,CN,29.11,clear sky,42.8,93.45,Laoyutang Resort
249,Fortuna,US,21.07,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
254,Vale Da Amoreira,PT,27.8,clear sky,39.0697,-7.6985,Hotel Candolaria Cabeço De Vide
256,Magdagachi,RU,21.83,few clouds,53.45,125.8,Motopolyana Magdagachi
258,La Romana,DO,27.85,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
259,Brandon,US,26.93,clear sky,27.9378,-82.2859,Brandon Motor Lodge
261,Maiduguri,NG,24.56,light rain,11.8464,13.1603,Kagel Mari Police Station
263,Murwillumbah,AU,22.29,overcast clouds,-28.3167,153.4,Murwillumbah Motor Inn
264,Victoria,HK,27.4,light rain,22.2855,114.1577,Mini Hotel Central
266,Mitsamiouli,KM,25.01,clear sky,-11.3847,43.2844,Foyer ADM
268,Shingu,JP,27.73,overcast clouds,33.7333,135.9833,Shingu UI Hotel
269,Erenhot,CN,23.2,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
270,Ponta Delgada,PT,23.4,few clouds,37.7333,-25.6667,Vila Nova Hotel
271,Luanda,AO,22.0,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
274,Saint Anthony,US,25.66,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
275,Cayenne,GF,25.61,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
277,Sept-Iles,CA,20.29,broken clouds,50.2001,-66.3821,Comfort Inn
278,Livno,BA,23.28,clear sky,43.8269,17.0078,Hotel Park
280,Ariquemes,BR,25.69,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
283,Meulaboh,ID,23.76,overcast clouds,4.1363,96.1285,Kost Pria
